Archivo estimados;Archivo reales;Imagenes analizadas;Total de detecciones;Verdaderos positivos;Falsos positivos;Falsos negativos;Miss rate: fneg/(vpos+fneg);Miss rate * tiempo promedio;FFPW;100*Miss rate * FPPW;100*Miss rate * FPPW * tiempo promedio;Tiempo promedio de detección;precision: vpos/(vpos+fpos);recall: vpos/(vpos+fneg);precision*recall;F1: 2*(precision*recall)/(precision+recall);100*F1/tiempo promedio;F0.5: (1+0.25)*precision*recall/((0.25*precision)+recall);pasoEscala;umbralAgrupamiento;hit_threshold;setSVMDetector;escala_inicial;convertir_a_gris;ecualizar_histograma;blurear;tamanio_blur;filtro_enfoque;filtro_repujado;filtro_enfoque_y_repujado;filtro_repujado_y_enfoque;
DH_ei_01;set235nuevo_reales;900;960;725;235;402;0.356699;41.770943;0.261111;9.313812;1090.685669;117.104107;0.755208;0.643301;0.485826;0.694777;0.593299;0.729817;1.050000;2;0.000000;getDefaultPeopleDetector;1.000000;true;true;false;3;false;false;false;false;
DH_ei_02;set235nuevo_reales;900;816;721;95;404;0.359111;27.900660;0.105556;3.790617;294.506958;77.693669;0.883578;0.640889;0.566276;0.742916;0.956212;0.821372;1.050000;2;0.000000;getDefaultPeopleDetector;1.200000;true;true;false;3;false;false;false;false;
DH_ei_03;set235nuevo_reales;900;775;745;30;383;0.339539;20.304956;0.033333;1.131797;67.683197;59.801543;0.961290;0.660461;0.634895;0.782974;1.309288;0.881031;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ei_04;set235nuevo_reales;900;728;712;16;414;0.367673;15.381865;0.017778;0.653641;27.345537;41.835698;0.978022;0.632327;0.618430;0.768069;1.835918;0.881625;1.050000;2;0.000000;getDefaultPeopleDetector;1.500000;true;true;false;3;false;false;false;false;
DH_ei_05;set235nuevo_reales;900;515;508;7;618;0.548845;10.234798;0.007778;0.426880;7.960399;18.647869;0.986408;0.451155;0.445022;0.619135;3.320136;0.797238;1.050000;2;0.000000;getDefaultPeopleDetector;2.000000;true;true;false;3;false;false;false;false;
DH_ei_06;set235nuevo_reales;900;59;57;2;1068;0.949333;4.087072;0.002222;0.210963;0.908238;4.305203;0.966102;0.050667;0.048949;0.096284;2.236452;0.209405;1.050000;2;0.000000;getDefaultPeopleDetector;3.000000;true;true;false;3;false;false;false;false;
DH_ff_01;set235nuevo_reales;900;775;745;30;383;0.339539;20.264929;0.033333;1.131797;67.549767;59.683653;0.961290;0.660461;0.634895;0.782974;1.311874;0.881031;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;false;
DH_ff_02;set235nuevo_reales;900;728;693;35;433;0.384547;23.237803;0.038889;1.495461;90.369232;60.429022;0.951923;0.615453;0.585864;0.747573;1.237109;0.858098;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;true;false;false;false;
DH_ff_03;set235nuevo_reales;900;459;435;24;690;0.613333;35.979855;0.026667;1.635556;95.946281;58.662806;0.947712;0.386667;0.366449;0.549242;0.936270;0.734549;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;true;false;false;
DH_ff_04;set235nuevo_reales;900;248;219;29;906;0.805333;47.099350;0.032222;2.594963;151.764587;58.484296;0.883065;0.194667;0.171903;0.319009;0.545462;0.517241;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;true;false;
DH_ff_05;set235nuevo_reales;900;276;241;35;884;0.785778;46.223061;0.038889;3.055803;179.756363;58.824593;0.873188;0.214222;0.187056;0.344040;0.584857;0.540601;1.050000;2;0.000000;getDefaultPeopleDetector;1.300000;true;true;false;3;false;false;false;true;
